               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07959,            0.030635,             0.10781,           0.0032121,             0.70512,            0.010833,           0.0044615,            0.042724,            0.013633,            0.083084,            0.070353,           0.0032941,           0.0032941
                   1,            0.052564,            0.023399,             0.10178,           0.0035079,             0.83427,            0.011627,            0.005149,            0.038822,           0.0091211,            0.079261,            0.040287,           0.0065618,           0.0065618
                   2,            0.045328,                0.02,             0.09805,           0.0043213,             0.88555,            0.023434,            0.013035,            0.033763,           0.0088404,            0.078513,            0.010156,           0.0097636,           0.0097636
                   3,            0.043881,            0.019992,            0.098476,           0.0043782,             0.79887,            0.021009,            0.011369,             0.03686,           0.0098454,            0.078066,            0.009703,            0.009703,            0.009703
                   4,            0.043765,            0.019709,             0.10052,           0.0054028,             0.83613,            0.024154,            0.012641,            0.030569,           0.0098274,            0.076581,            0.009703,            0.009703,            0.009703
                   5,            0.041266,            0.019316,            0.098179,           0.0067922,              0.8445,            0.025659,            0.014727,            0.028681,           0.0097667,            0.076003,            0.009604,            0.009604,            0.009604
                   6,            0.039049,             0.01929,             0.09789,           0.0061945,             0.89055,            0.030134,            0.016115,            0.025939,           0.0091822,            0.074717,            0.009505,            0.009505,            0.009505
                   7,            0.038058,            0.019271,            0.096361,           0.0058005,             0.91435,            0.032271,            0.018189,            0.025921,           0.0094654,            0.073894,            0.009406,            0.009406,            0.009406
                   8,            0.036093,            0.017799,            0.093558,           0.0066605,             0.94404,            0.041155,            0.022672,            0.026046,           0.0081313,            0.073278,            0.009307,            0.009307,            0.009307
                   9,            0.035302,            0.017471,            0.093145,            0.006897,             0.95367,            0.042092,            0.027213,            0.023161,           0.0077827,            0.072395,            0.009208,            0.009208,            0.009208
                  10,            0.036875,             0.01829,             0.09595,           0.0070289,             0.93138,            0.043959,            0.026261,            0.023378,           0.0084778,            0.071912,            0.009109,            0.009109,            0.009109
                  11,            0.034617,            0.017824,            0.091876,           0.0073181,             0.95594,            0.048195,            0.030191,            0.022805,            0.007952,            0.070634,             0.00901,             0.00901,             0.00901
                  12,            0.033492,            0.017369,            0.090546,            0.018184,             0.59576,            0.056462,            0.033095,            0.022238,           0.0078409,            0.069109,            0.008911,            0.008911,            0.008911
                  13,            0.033879,            0.017254,             0.09061,             0.16215,             0.15613,            0.064002,            0.037226,            0.023197,           0.0076255,            0.067483,            0.008812,            0.008812,            0.008812
                  14,            0.037117,            0.017735,            0.091119,              0.7294,            0.036618,            0.078984,            0.051281,            0.022135,           0.0073873,            0.066866,            0.008713,            0.008713,            0.008713
                  15,            0.034587,            0.017479,            0.090477,             0.66528,            0.079938,            0.092849,             0.05634,             0.02331,           0.0076043,            0.064792,            0.008614,            0.008614,            0.008614
                  16,            0.033584,            0.016612,            0.086637,             0.64641,            0.093996,            0.093606,            0.055517,            0.024244,            0.007637,            0.064166,            0.008515,            0.008515,            0.008515
                  17,            0.033419,            0.016818,            0.085461,             0.72186,             0.10488,             0.11746,              0.0752,            0.021543,           0.0072356,            0.062268,            0.008416,            0.008416,            0.008416
                  18,             0.03428,            0.016964,            0.085785,             0.56681,             0.16214,             0.12909,            0.078962,            0.022851,           0.0069937,            0.060574,            0.008317,            0.008317,            0.008317
                  19,            0.035498,             0.01656,            0.082377,             0.52579,             0.16699,             0.15193,            0.090626,            0.023464,           0.0072089,             0.05921,            0.008218,            0.008218,            0.008218
                  20,            0.033913,            0.016262,            0.083992,             0.56485,             0.16528,             0.16937,             0.10454,            0.022933,           0.0067676,             0.05757,            0.008119,            0.008119,            0.008119
                  21,            0.034283,            0.016358,            0.082118,             0.45891,             0.20262,             0.18004,             0.11348,            0.022029,           0.0068245,            0.056693,             0.00802,             0.00802,             0.00802
                  22,            0.032934,            0.015966,             0.08104,              0.4461,             0.22165,             0.18772,              0.1158,            0.022223,           0.0068434,            0.056124,            0.007921,            0.007921,            0.007921
                  23,             0.03272,            0.016357,            0.078572,             0.42133,             0.23962,              0.2086,             0.13148,            0.021373,           0.0066649,            0.053264,            0.007822,            0.007822,            0.007822
                  24,             0.03355,            0.016032,            0.076352,             0.40272,             0.26239,             0.23267,              0.1519,            0.021402,           0.0066363,             0.05218,            0.007723,            0.007723,            0.007723
                  25,            0.034247,            0.016303,            0.077103,             0.44425,             0.29472,             0.25668,             0.16443,            0.021438,           0.0066551,            0.050577,            0.007624,            0.007624,            0.007624
                  26,            0.031937,            0.015343,            0.076568,             0.42549,             0.30949,             0.26977,             0.15871,            0.023869,           0.0065774,            0.049863,            0.007525,            0.007525,            0.007525
                  27,            0.034767,            0.015626,            0.075488,             0.43075,             0.33285,             0.28827,             0.18556,            0.023934,           0.0065922,            0.048316,            0.007426,            0.007426,            0.007426
                  28,             0.03419,            0.015657,            0.072677,             0.42136,             0.37879,             0.32154,             0.21132,            0.021518,           0.0063144,            0.046797,            0.007327,            0.007327,            0.007327
                  29,            0.033884,            0.014922,            0.072116,             0.39052,             0.38705,             0.33039,             0.21727,             0.02257,           0.0065163,            0.045853,            0.007228,            0.007228,            0.007228
                  30,            0.031771,            0.015346,            0.067898,             0.42444,             0.39996,             0.36713,             0.24234,             0.02205,           0.0063215,            0.044281,            0.007129,            0.007129,            0.007129
                  31,            0.032815,             0.01572,            0.071856,             0.42748,             0.40135,             0.36669,             0.24332,            0.021003,            0.006344,            0.043178,             0.00703,             0.00703,             0.00703
                  32,            0.033626,            0.014861,            0.069078,             0.40979,             0.45551,             0.40419,             0.26224,            0.021946,           0.0061474,            0.041333,            0.006931,            0.006931,            0.006931
                  33,            0.031423,             0.01495,            0.066392,             0.42436,             0.47221,             0.42031,             0.28493,            0.019998,           0.0060984,            0.040338,            0.006832,            0.006832,            0.006832
                  34,            0.033169,            0.015142,            0.066868,             0.48368,             0.47388,             0.44901,             0.30439,            0.019819,             0.00606,            0.039359,            0.006733,            0.006733,            0.006733
                  35,            0.034077,            0.015161,             0.06525,             0.49301,             0.46372,             0.45856,             0.29806,            0.021785,           0.0059709,            0.038512,            0.006634,            0.006634,            0.006634
                  36,            0.032328,            0.014641,            0.064579,             0.50073,             0.46138,              0.4885,              0.3343,            0.021593,            0.006125,            0.037623,            0.006535,            0.006535,            0.006535
                  37,            0.034786,            0.015451,            0.061545,             0.51893,             0.48879,             0.50451,             0.34633,            0.020901,           0.0059065,            0.036234,            0.006436,            0.006436,            0.006436
                  38,            0.031303,            0.014436,            0.061253,             0.53446,              0.5406,             0.54564,             0.36774,            0.020499,           0.0057441,            0.035183,            0.006337,            0.006337,            0.006337
