               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033527,            0.014728,            0.068167,             0.50846,             0.44305,              0.4509,             0.30563,            0.025117,           0.0058653,            0.040284,            0.006535,            0.006535,            0.006535
                  37,            0.035578,            0.015109,            0.063769,             0.47337,             0.45461,             0.44666,             0.29685,            0.024309,           0.0059425,            0.039931,            0.006436,            0.006436,            0.006436
                  38,            0.032866,            0.014383,            0.063807,             0.53156,             0.49445,             0.51104,             0.36452,            0.022865,           0.0058271,            0.038283,            0.006337,            0.006337,            0.006337
                  39,            0.033595,            0.014928,             0.06369,             0.53228,             0.47543,             0.51466,             0.35351,            0.022717,           0.0057198,            0.037569,            0.006238,            0.006238,            0.006238
                  40,            0.034462,            0.014342,             0.06539,             0.54927,             0.50011,             0.54171,              0.3846,            0.022372,           0.0057012,            0.036305,            0.006139,            0.006139,            0.006139
                  41,             0.03528,             0.01421,            0.061944,             0.53346,             0.52541,              0.5557,             0.39495,            0.024348,           0.0055437,            0.035684,             0.00604,             0.00604,             0.00604
                  42,            0.033436,            0.014586,            0.060599,             0.56041,              0.5463,              0.5764,             0.41402,             0.02303,           0.0055989,            0.035021,            0.005941,            0.005941,            0.005941
                  43,            0.033791,            0.014555,            0.059375,             0.53393,             0.52676,             0.56794,             0.38475,            0.023914,           0.0057745,            0.034451,            0.005842,            0.005842,            0.005842
                  44,            0.033621,            0.014696,            0.057716,             0.53162,             0.56829,              0.5985,             0.41705,            0.022291,           0.0055542,            0.033231,            0.005743,            0.005743,            0.005743
                  45,            0.033704,            0.014162,            0.058004,             0.53512,             0.54766,             0.59569,             0.43417,            0.021322,           0.0054282,            0.032633,            0.005644,            0.005644,            0.005644
                  46,            0.032897,            0.013943,            0.054801,              0.5679,             0.58772,             0.63501,               0.441,            0.023089,           0.0056177,             0.03126,            0.005545,            0.005545,            0.005545
                  47,            0.033274,            0.014037,            0.056445,              0.5541,             0.60474,              0.6531,             0.47728,            0.021077,           0.0054811,            0.030583,            0.005446,            0.005446,            0.005446
                  48,            0.031564,            0.014051,            0.057477,             0.62912,              0.5968,             0.67146,             0.47471,            0.021045,           0.0053021,            0.029574,            0.005347,            0.005347,            0.005347
                  49,            0.031481,            0.013386,            0.056417,             0.62904,             0.63402,             0.70099,             0.49115,            0.020541,           0.0052542,            0.028489,            0.005248,            0.005248,            0.005248
                  50,            0.032944,            0.013682,            0.051724,             0.61779,             0.65467,              0.7215,             0.53715,            0.019631,           0.0051172,            0.027831,            0.005149,            0.005149,            0.005149
                  51,            0.031418,            0.013759,            0.052895,             0.60017,             0.68151,             0.72263,             0.52932,            0.020678,           0.0051612,            0.027565,             0.00505,             0.00505,             0.00505
                  52,            0.030246,             0.01379,            0.048215,             0.62471,             0.67331,              0.7355,             0.52564,            0.021638,           0.0052897,            0.026363,            0.004951,            0.004951,            0.004951
                  53,            0.031073,            0.013067,            0.053624,             0.64164,             0.68075,              0.7478,             0.55477,            0.021641,           0.0052612,            0.025444,            0.004852,            0.004852,            0.004852
                  54,            0.032549,            0.013823,            0.051513,             0.68075,             0.68376,             0.76249,             0.56608,             0.02183,           0.0051213,            0.025122,            0.004753,            0.004753,            0.004753
                  55,            0.031267,            0.013937,            0.048059,             0.66756,             0.68362,             0.77744,             0.57269,            0.019252,            0.005104,            0.024909,            0.004654,            0.004654,            0.004654
                  56,             0.03064,            0.013224,            0.047707,             0.68582,             0.71471,              0.7901,             0.59557,            0.020058,           0.0049625,            0.023979,            0.004555,            0.004555,            0.004555
                  57,            0.031743,            0.012878,             0.04701,             0.68371,             0.75797,             0.80896,             0.60879,            0.019661,           0.0048846,            0.023098,            0.004456,            0.004456,            0.004456
                  58,            0.030203,            0.013351,            0.047838,             0.70306,             0.75606,             0.83349,             0.61681,            0.019973,           0.0049007,            0.022317,            0.004357,            0.004357,            0.004357
                  59,            0.030785,            0.013345,             0.04702,             0.74169,             0.74522,             0.84028,             0.64152,            0.019711,           0.0049077,            0.021645,            0.004258,            0.004258,            0.004258
                  60,            0.031075,            0.012988,            0.048024,             0.72012,             0.80384,             0.85305,             0.64568,            0.018012,           0.0048885,            0.021155,            0.004159,            0.004159,            0.004159
                  61,            0.031182,            0.013381,            0.046436,             0.71885,             0.78396,              0.8563,              0.6558,            0.020014,            0.004731,            0.020623,             0.00406,             0.00406,             0.00406
                  62,            0.030837,            0.013562,            0.043348,              0.7195,             0.81535,             0.86639,             0.67134,            0.018473,           0.0047659,             0.02014,            0.003961,            0.003961,            0.003961
                  63,            0.031034,             0.01321,            0.044962,             0.75687,             0.80859,             0.87344,             0.67012,            0.020162,           0.0047209,            0.019456,            0.003862,            0.003862,            0.003862
                  64,            0.030693,            0.012849,            0.044878,             0.74272,             0.78816,             0.86262,             0.67855,            0.018488,           0.0048191,            0.019505,            0.003763,            0.003763,            0.003763
                  65,            0.029301,            0.013004,            0.041195,             0.78516,             0.81607,             0.89036,             0.67816,            0.018927,           0.0046802,            0.018338,            0.003664,            0.003664,            0.003664
                  66,            0.029045,             0.01292,              0.0409,             0.80777,             0.82352,             0.89578,             0.68507,            0.018993,           0.0047225,            0.017894,            0.003565,            0.003565,            0.003565
                  67,            0.029404,            0.012973,            0.039543,             0.78395,             0.84746,             0.90273,             0.70882,            0.018265,           0.0046529,            0.017131,            0.003466,            0.003466,            0.003466
                  68,            0.028867,            0.012589,            0.041182,             0.79216,              0.8716,             0.91626,             0.72887,            0.016772,           0.0045793,            0.016699,            0.003367,            0.003367,            0.003367
                  69,            0.028882,            0.012772,            0.040677,             0.81604,             0.86765,               0.919,             0.73179,             0.01732,           0.0045515,            0.016022,            0.003268,            0.003268,            0.003268
                  70,            0.029387,            0.013031,            0.037906,             0.82696,             0.86079,             0.92449,              0.7409,             0.01626,           0.0044155,            0.015672,            0.003169,            0.003169,            0.003169
                  71,            0.029087,             0.01251,            0.037462,             0.82689,             0.87596,             0.92994,             0.75269,            0.018649,           0.0043951,            0.015006,             0.00307,             0.00307,             0.00307
                  72,            0.028483,             0.01283,            0.037808,             0.84722,             0.86141,             0.92849,             0.74628,            0.015919,           0.0044126,            0.014783,            0.002971,            0.002971,            0.002971
                  73,            0.027218,              0.0123,            0.034545,             0.85244,             0.86053,             0.93012,             0.74782,            0.015616,           0.0043721,            0.014505,            0.002872,            0.002872,            0.002872
                  74,            0.026091,            0.012452,            0.037029,             0.85017,             0.86974,             0.93601,             0.74864,            0.015314,           0.0043853,            0.013824,            0.002773,            0.002773,            0.002773
                  75,            0.026931,            0.011894,            0.036818,             0.85419,             0.88574,             0.94247,             0.75494,            0.016167,           0.0043176,             0.01329,            0.002674,            0.002674,            0.002674
                  76,            0.027719,            0.012072,            0.037609,             0.86162,             0.89508,              0.9447,             0.77239,            0.015398,            0.004325,            0.012909,            0.002575,            0.002575,            0.002575
                  77,            0.026274,            0.012486,            0.035337,             0.86108,             0.90036,             0.95289,             0.77014,            0.017046,            0.004335,            0.012634,            0.002476,            0.002476,            0.002476
                  78,            0.026717,            0.012491,            0.033132,             0.85778,             0.90271,             0.94569,             0.77444,             0.01574,           0.0042491,            0.012539,            0.002377,            0.002377,            0.002377
                  79,            0.026651,            0.012264,            0.036414,             0.86791,             0.90268,             0.94941,             0.78406,            0.015224,           0.0042119,             0.01217,            0.002278,            0.002278,            0.002278
                  80,            0.025931,            0.012048,            0.033423,             0.89044,             0.89602,             0.95338,             0.78823,            0.015038,           0.0042156,            0.011682,            0.002179,            0.002179,            0.002179
                  81,             0.02586,             0.01215,            0.036878,             0.90982,             0.90434,              0.9614,             0.79417,            0.015011,           0.0042104,            0.011205,             0.00208,             0.00208,             0.00208
                  82,            0.025773,            0.012089,            0.036611,             0.89922,             0.91255,             0.96343,             0.80056,            0.014693,           0.0041922,             0.01106,            0.001981,            0.001981,            0.001981
