               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08943,            0.031693,             0.11356,           0.0031532,             0.66309,           0.0096629,           0.0038392,             0.04661,            0.014373,            0.092418,            0.070882,           0.0032353,           0.0032353
                   1,             0.05773,            0.023655,             0.10813,           0.0034973,             0.81342,            0.011759,           0.0060262,            0.045968,           0.0096671,            0.087947,            0.040876,           0.0065621,           0.0065621
                   2,            0.050846,            0.020782,             0.10545,           0.0036912,             0.81351,            0.014755,           0.0066377,            0.045974,            0.012377,            0.086226,            0.010863,           0.0098824,           0.0098824
                   3,            0.049743,             0.02026,              0.1044,           0.0036374,             0.83142,             0.01811,            0.010387,            0.039163,            0.011599,            0.084331,           0.0099703,           0.0099703,           0.0099703
                   4,            0.045941,            0.020057,             0.10131,           0.0035762,             0.79548,            0.019135,           0.0097264,            0.039405,            0.011736,            0.084994,           0.0099703,           0.0099703,           0.0099703
                   5,            0.045018,            0.019778,             0.10201,           0.0050568,             0.83463,            0.022947,            0.012348,            0.036411,            0.010709,             0.08372,           0.0099604,           0.0099604,           0.0099604
                   6,            0.043542,            0.019643,             0.10224,            0.004313,             0.84973,             0.02624,            0.014133,            0.034746,            0.011712,            0.081513,           0.0099505,           0.0099505,           0.0099505
                   7,             0.04089,            0.018718,            0.098706,           0.0066249,             0.85386,             0.03325,            0.018421,            0.031704,           0.0097185,            0.081293,           0.0099406,           0.0099406,           0.0099406
                   8,            0.040012,            0.017741,             0.10072,           0.0055163,             0.83196,            0.033758,            0.019217,            0.037717,           0.0097852,            0.082104,           0.0099307,           0.0099307,           0.0099307
                   9,            0.039857,             0.01817,            0.099821,           0.0053135,             0.92181,            0.041244,             0.02094,             0.03287,           0.0098319,            0.080783,           0.0099208,           0.0099208,           0.0099208
                  10,            0.039663,            0.018948,              0.0985,           0.0059982,             0.88507,            0.040857,            0.020542,            0.030987,           0.0093135,            0.079643,           0.0099109,           0.0099109,           0.0099109
                  11,            0.037906,            0.018233,            0.095849,           0.0063287,             0.96987,            0.051221,            0.031804,            0.026652,             0.00832,            0.076179,            0.009901,            0.009901,            0.009901
                  12,            0.036989,              0.0175,            0.097495,             0.74576,            0.044481,            0.062044,            0.034758,            0.029769,           0.0084495,            0.074796,           0.0098911,           0.0098911,           0.0098911
                  13,            0.038318,            0.017572,            0.094169,               0.782,            0.041035,            0.069667,            0.038793,            0.030948,           0.0084207,            0.072454,           0.0098812,           0.0098812,           0.0098812
                  14,            0.041044,            0.018325,            0.093656,             0.75429,            0.043002,            0.079208,             0.04526,            0.028653,           0.0084846,            0.073282,           0.0098713,           0.0098713,           0.0098713
                  15,            0.039168,            0.017714,            0.093757,             0.77337,            0.066596,            0.089697,             0.05002,             0.03093,           0.0089355,            0.071065,           0.0098614,           0.0098614,           0.0098614
                  16,            0.039992,            0.017197,            0.091103,             0.66337,            0.085175,            0.086028,            0.045167,            0.031162,           0.0085323,            0.069409,           0.0098515,           0.0098515,           0.0098515
                  17,            0.038046,            0.017495,              0.0902,             0.70692,            0.085092,             0.09994,             0.05543,            0.030989,           0.0093997,            0.068231,           0.0098416,           0.0098416,           0.0098416
                  18,            0.036963,            0.017474,            0.087937,             0.63231,            0.097635,             0.10999,            0.062117,            0.027455,            0.008451,            0.065963,           0.0098317,           0.0098317,           0.0098317
                  19,             0.03942,            0.017165,            0.089671,             0.59061,             0.12453,             0.10021,            0.055672,            0.031209,           0.0091722,            0.067314,           0.0098218,           0.0098218,           0.0098218
                  20,            0.038724,            0.017269,            0.088617,             0.61881,             0.13517,             0.12727,            0.073749,              0.0284,           0.0080439,            0.063871,           0.0098119,           0.0098119,           0.0098119
                  21,            0.038632,            0.017032,            0.086009,             0.60381,             0.13155,             0.13024,            0.078691,            0.030615,           0.0078595,            0.064821,            0.009802,            0.009802,            0.009802
                  22,            0.039377,            0.016983,            0.084858,             0.59001,             0.15769,             0.14605,            0.081851,            0.030289,           0.0084596,            0.063911,           0.0097921,           0.0097921,           0.0097921
                  23,            0.039999,              0.0172,            0.084947,             0.61744,             0.10993,             0.11186,            0.062715,            0.032333,            0.009672,            0.066094,           0.0097822,           0.0097822,           0.0097822
                  24,            0.038114,            0.016793,             0.08276,             0.59067,             0.16074,               0.168,              0.1021,            0.030176,           0.0084363,            0.061065,           0.0097723,           0.0097723,           0.0097723
                  25,            0.039273,            0.016895,            0.081129,             0.47296,             0.17939,             0.18621,              0.1094,            0.030087,           0.0081677,            0.058677,           0.0097624,           0.0097624,           0.0097624
                  26,            0.038496,             0.01595,            0.083503,              0.4616,              0.2603,             0.25337,             0.15471,            0.027941,           0.0074155,             0.05679,           0.0097525,           0.0097525,           0.0097525
                  27,            0.038802,            0.016164,            0.078298,             0.47796,             0.27396,             0.23684,             0.14481,            0.027074,           0.0073451,            0.054852,           0.0097426,           0.0097426,           0.0097426
                  28,            0.038343,            0.016385,            0.077007,             0.44674,             0.30319,             0.26387,             0.15926,            0.029313,           0.0078208,            0.052725,           0.0097327,           0.0097327,           0.0097327
                  29,            0.038718,             0.01571,            0.077467,             0.41762,             0.30081,             0.27006,             0.16588,            0.028276,           0.0075306,            0.053189,           0.0097228,           0.0097228,           0.0097228
                  30,            0.038503,            0.016317,            0.073183,             0.47311,             0.30496,             0.29703,             0.18495,            0.026373,           0.0074385,            0.052382,           0.0097129,           0.0097129,           0.0097129
                  31,             0.03803,            0.016809,             0.07718,              0.4618,             0.30972,             0.30265,             0.18216,            0.028331,           0.0074929,            0.050119,            0.009703,            0.009703,            0.009703
                  32,            0.038467,            0.016153,            0.073634,             0.38635,             0.32606,             0.30172,             0.18246,            0.027483,           0.0076949,            0.050459,           0.0096931,           0.0096931,           0.0096931
                  33,             0.03719,            0.016243,            0.071274,             0.45116,             0.37958,             0.34092,             0.20805,            0.028354,           0.0070828,            0.047154,           0.0096832,           0.0096832,           0.0096832
                  34,            0.038039,            0.016514,            0.072013,               0.396,             0.36726,             0.33278,              0.1979,            0.028611,            0.007479,             0.04773,           0.0096733,           0.0096733,           0.0096733
                  35,            0.038855,            0.016083,            0.071462,             0.45019,             0.38697,             0.37815,             0.23281,            0.027399,           0.0070968,            0.045703,           0.0096634,           0.0096634,           0.0096634
                  36,             0.03711,            0.015523,            0.070556,               0.449,              0.3655,             0.36547,              0.2297,            0.028234,           0.0076195,            0.046257,           0.0096535,           0.0096535,           0.0096535
                  37,            0.038098,            0.016298,            0.067275,             0.44201,             0.43156,             0.39419,             0.24896,            0.026578,           0.0070341,            0.043769,           0.0096436,           0.0096436,           0.0096436
                  38,            0.036201,            0.015341,            0.067668,             0.47347,             0.42267,              0.4195,             0.26603,            0.027219,           0.0071902,            0.044683,           0.0096337,           0.0096337,           0.0096337
                  39,            0.037906,            0.015817,            0.067735,             0.47027,             0.45099,             0.44634,             0.27898,            0.026921,           0.0071459,            0.042668,           0.0096238,           0.0096238,           0.0096238
